"year","United Kingdom","Belgium","Denmark","Germany","Greece","Ireland","Italy","Netherlands"
1979,0,-2.32727214838076,0,-0.10257797377227,0,0,5.44999980926514,0
1984,-0.0385025585735746,-1.63567599210999,0,0.0325079487745694,0,0,5.18999981880188,-0.125256285075887
1989,-0.123027714031871,-0.400807949429694,0,4.89858444899436,0,0,3.25000011920929,-0.400232997284162
1994,0.0583701943127644,1.4576410552268,0,-1.87109234255001,0,0,8.29999995231628,-4.8588017609319e-08
1999,6.86545907391464,3.39962275119258,5.80000019073486,-6.876952673897,-0.918347447802021,-5.80000019073486,5.46999967098236,-3.26262607618325
2004,17.4878499981129,7.91452688930815,2.68000030517578,-10.3304024589805,3.04331667610157,-6.80000019073486,1.31999969482422,-3.65797391630974
2009,9.80453493052109,0.09044429840527,8.12999963760376,-11.8162652444036,4.73062969955168,-15.2799997329712,-0.970000386238098,6.39494184402508
2014,14.700771778403,-6.64028430106931,11.0599999427795,-6.5142224519083,11.3282691182537,-26.6000003814697,5.54999995231628,-4.6318100179617
