"year","United Kingdom","Belgium","Denmark","Germany","Greece","France","Ireland","Italy","Netherlands"
1979,0,-2.32727214838076,0,0,0,-2.80654738129197,0,5.44999980926514,0
1984,-0.0427125145575595,-1.63567599210999,0,-2.48161948962997,0,7.22059447782881,0,0.536865242496718,-0.125256285150409
1989,-0.136479839814492,-0.400807949429702,0,3.11417929189676,0,4.56639596961632,0,-0.426312798985578,-0.400232997522284
1994,-0.000186785084912655,1.45764105522679,0,-0.891008450502287,0,-1.32750599092261,0,8.4106744268394,-4.92127227857964e-08
1999,6.81849686716195,3.39962275119257,5.80000019073486,-4.95624477025746,-0.916654076899445,-3.74320483408576,-5.80000019073486,7.97701455674133,-3.24576614103702
2004,19.0114146085935,7.91452688930815,2.68000030517597,-7.52581034273895,3.04530200749498,-0.926160046114877,-6.80000019073486,4.84714309308148,-3.65725236578013
2009,12.2316285616936,0.090444298405286,8.12999963760409,-10.7721556840918,4.7350908557738,0.254778394591899,-15.2799997329712,1.35897303585185,6.40630718633435
2014,20.5638958886887,-6.6402843010693,11.0599999427803,-13.7482071344034,11.3360352674215,15.7699000494577,-26.6000003814697,-4.36257250414581,-4.62632266849852
