rr_votes,E_eubadIP,E_NatDem_satisfiedIP,unempIP,opencIP,S_uegenIP,rightgovIP,ch_imp_fns,eu_pos_meanIP,ccode,country,ep_election
0.0,0.026751783893985727,0.4576450288295746,7.0,100.8315,13.399999618530273,0.0,0.12738378,6.427861494127683,1,Belgium,1979.0
1.2799999713897705,0.05512181695661665,0.46911779046058655,10.800000190734863,127.2862,13.899999618530273,1.0,0.19692613,6.423333168029785,1,Belgium,1984.0
4.090000152587891,0.04146906187624751,0.6098935604095459,7.400000095367432,124.0117,13.699999809265137,0.0,0.25735793,6.449999809265137,1,Belgium,1989.0
10.730000257492065,0.08451158451158451,0.5600000023841858,9.800000190734863,112.3887,13.600000381469727,0.0,0.95636725,6.539999961853027,1,Belgium,1994.0
10.910000324249268,0.06966030694317502,0.5251659750938416,8.399999618530273,123.997,13.300000190734863,0.0,1.8657576,6.722222328186035,1,Belgium,1999.0
17.130000114440918,0.08090771290056548,0.6610371470451355,8.399999618530273,136.0378,13.699999809265137,0.0,,6.206666469573975,1,Belgium,2004.0
11.18000042438507,0.11099690378730998,0.6189054846763611,7.900000095367432,136.3566,13.600000381469727,0.0,,6.484127044677734,1,Belgium,2009.0
4.260000228881836,0.11969375738841326,0.6432480812072754,8.5,167.038,13.866016752610411,0.0,,6.333333492279053,1,Belgium,2014.0
0.0,0.24777796715271558,0.676561176776886,4.599999904632568,60.89621,9.5,0.0,0.22911276,5.62291351739168,2,Denmark,1979.0
0.0,0.2588018741633199,0.707271158695221,7.900000095367432,71.47871,11.699999809265137,1.0,0.6046888,5.53000020980835,2,Denmark,1984.0
0.0,0.24500313121002776,0.6562078595161438,6.800000190734863,67.4062,11.100000381469727,1.0,1.1936232,5.612500190734863,2,Denmark,1989.0
0.0,0.2385,0.7997003197669983,7.699999809265137,67.83298,13.199999809265137,0.0,1.8870254,5.859999656677246,2,Denmark,1994.0
5.800000190734863,0.22079694786881288,0.7809547185897827,5.199999809265137,72.78741,12.100000381469727,0.0,2.6452715,5.928571701049805,2,Denmark,1999.0
6.800000190734863,0.1678725782350838,0.9077543020248413,5.5,82.1381,11.600000381469727,1.0,,5.925000190734863,2,Denmark,2004.0
15.279999732971191,0.12741676990541365,0.9026812314987183,6.0,89.07732,9.399999618530273,1.0,,6.181818008422852,2,Denmark,2009.0
26.600000381469727,0.13271163469840025,0.8650997877120972,6.599999904632568,100.7017,8.953202344126737,0.0,,5.623636245727539,2,Denmark,2014.0
0.0,0.04234212784531976,0.7873518466949463,2.7,39.3552,12.0,0.0,0.32539752,6.57290893262325,3,Germany,1979.0
0.800000011920929,0.05324600603498453,0.7242911458015442,7.1,46.39589,11.300000190734863,1.0,0.55660874,6.590000152587891,3,Germany,1984.0
7.099999904632568,0.08137561363367815,0.7520973682403564,5.6,45.36462,11.800000190734863,1.0,1.1447362,6.537499904632568,3,Germany,1989.0
3.9000000953674316,0.1074752623688156,0.5597500205039978,8.399999618530273,42.07295,11.5,1.0,2.4912755,6.319999694824219,3,Germany,1994.0
1.7000000476837158,0.11408129591208854,0.6265376806259155,8.600000381469727,53.36945,11.100000381469727,0.0,3.0805051,6.116666793823242,3,Germany,1999.0
1.899999976158142,0.13191373448427157,0.5575969815254211,10.399999618530273,65.85611,10.800000190734863,0.0,,6.204999923706055,3,Germany,2004.0
1.2999999523162842,0.10774129166568959,0.6827495098114014,7.599999904632568,70.66505,10.300000190734863,0.0,,5.7058820724487305,3,Germany,2009.0
8.499999910593033,0.17010142071106926,0.7141240835189819,5.0,84.71494,9.834123321979657,0.0,,5.82692289352417,3,Germany,2014.0
0.0,0.21562944856517982,0.531000018119812,1.899999976158142,35.53221,4.599999904632568,1.0,0.10006574,5.449999809265137,4,Greece,1979.0
0.0,0.16549999999999998,0.59269779920578,7.199999809265137,40.89848,4.699999809265137,0.0,0.20360242,5.449999809265137,4,Greece,1984.0
0.0,0.05394605394605395,0.5015000104904175,6.699999809265137,40.78386,5.0,0.0,0.5037686,6.300000190734863,4,Greece,1989.0
0.0,0.08346053946053947,0.3125,8.899999618530273,36.16312,5.900000095367432,0.0,1.2949189,6.650000095367432,4,Greece,1994.0
0.0,0.09167911555150915,0.5764685869216919,12.0,47.3776,5.900000095367432,0.0,1.8253946,6.857142925262451,4,Greece,1999.0
4.119999885559082,0.07702854927637998,0.6569029092788696,10.600000381469727,49.89844,7.300000190734863,0.0,,6.685000419616699,4,Greece,2004.0
7.150000095367432,0.14206556556556554,0.49000000953674316,9.600000381469727,47.74385,7.300000190734863,0.0,,5.681818008422852,4,Greece,2009.0
15.540000438690186,0.44970023435996104,0.19208228588104248,26.5,67.93031,7.610000087311674,0.0,,6.222222328186035,4,Greece,2014.0
0.0,0.06695117787640834,0.40306326746940613,4.699999809265137,40.78046,11.399999618530273,1.0,0.3060226,5.546785149176685,6,France,1979.0
10.949999809265137,0.05167437287519891,0.3934154510498047,8.399999618530273,47.21489,11.600000381469727,0.0,0.42095447,5.420000076293945,6,France,1984.0
11.729999542236328,0.060873134328358204,0.5338866710662842,8.100000381469727,43.67544,12.699999809265137,0.0,0.9066772,5.680000305175781,6,France,1989.0
10.5,0.12405905905905906,0.5260260105133057,10.399999618530273,41.47522,10.300000190734863,1.0,1.8028984,5.900000095367432,6,France,1994.0
5.699999809265137,0.14707352674862284,0.57523113489151,10.0,49.23301,10.300000190734863,0.0,2.81258,6.095237731933594,6,France,1999.0
9.800000190734863,0.1613404831643046,0.5600736141204834,8.899999618530273,51.19678,11.300000190734863,1.0,,5.7166666984558105,6,France,2004.0
